SEXO,EDAD,NIVEL_LOGRO,PREG1,PREG2,PREG3,PREG4,PREG5,PREG6,PREG7,PREG8,PREG9,PREG10,PERMUTACION_ID,CLUSTER_ID
0,1.0818238468109702,2,0,0,1,1,1,0,0,1,1,0,19,76
0,-0.4761021998638143,1,0,0,1,0,0,1,0,0,0,1,29,63
0,-2.0340282465385986,0,1,0,0,0,0,0,0,0,0,0,23,38
0,1.0818238468109702,2,0,1,1,1,1,1,0,1,0,0,19,76
1,1.0818238468109702,2,1,1,0,0,1,0,1,1,0,0,6,92
1,-0.4761021998638143,0,1,0,0,0,0,0,1,0,0,0,11,2
1,1.0818238468109702,1,0,0,1,0,1,0,1,0,0,1,3,93
0,-0.4761021998638143,2,1,1,1,1,1,1,0,1,0,0,4,37
0,-0.4761021998638143,3,1,1,0,1,1,1,1,0,1,1,13,5
1,-0.4761021998638143,2,0,0,1,1,1,1,1,0,1,1,3,93
1,-0.4761021998638143,2,0,0,0,1,0,1,1,1,0,1,33,88
1,1.0818238468109702,1,1,0,1,1,0,0,0,0,0,1,15,11
1,1.0818238468109702,2,0,0,0,0,1,1,1,1,1,0,3,93
0,-0.4761021998638143,2,1,0,1,1,1,0,1,0,1,0,4,37
1,-0.4761021998638143,1,0,1,0,1,0,1,0,0,0,1,16,86
0,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,1,25,34
0,-0.4761021998638143,1,1,0,0,1,0,1,1,0,0,0,36,32
0,-0.4761021998638143,1,1,0,0,0,1,1,0,0,0,0,15,11
0,1.0818238468109702,2,0,1,1,1,1,0,1,0,0,1,4,37
1,1.0818238468109702,3,1,1,1,1,0,1,1,1,1,0,7,49
0,1.0818238468109702,2,0,1,1,0,1,0,1,0,1,0,37,25
1,-0.4761021998638143,2,1,1,1,0,1,1,0,0,0,0,34,75
1,1.0818238468109702,2,1,0,0,0,0,1,0,1,1,1,20,46
0,-0.4761021998638143,2,1,0,1,0,1,1,0,1,0,0,34,75
0,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,37,25
